시구,설치장소,주소,Latitude,Longitude,급속충전기(대),완속충전기(대),지원차종,x,y
서울특별시,구로구청 주차장,서울특별시 구로구 구로동 435,37.4952909,126.8876545,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,구로리공원,서울특별시 구로구 구로동 139-82,37.4908833,126.8916101,1,0,"SM3 Z.E,테슬라",,
서울특별시,구로삼성래미안,서울특별시 구로구 구로동 256-1,37.4877322,126.8918993,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,구로중앙하이츠아파트,서울특별시 구로구 구로동 1269,37.4988448,126.8805528,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,근상프리즘아파트,서울특별시 구로구 구로동 1283,37.4982187,126.8755522,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,동아한신아파트,서울특별시 구로구 고척동 327,37.5009135,126.8651312,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,롯데 아파트,서울특별시 구로구 구로동 1263,37.5034978,126.8842102,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,신구로자이 아파트,서울특별시 구로구 구로동 501,37.4998962,126.884113,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,오류푸르지오,서울특별시 구로구 오류동 346,37.4916081,126.8415281,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,항동하버라인3단지,서울특별시 구로구 항동 242,37.4810318,126.8246024,0,10,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,금나래체육문화센타,서울특별시 금천구 독산동 1148,37.4589377,126.8961137,1,0,"SM3 Z.E,테슬라",,
서울특별시,금천구청 지상 주차장,서울특별시 금천구 시흥동 1020,37.4568163,126.8954085,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,메이퀸 웨딩홀,서울특별시 금천구 독산동 152-1,37.4726225,126.8976696,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,공릉2단지라이프 아파트,서울특별시 노원구 공릉동 708,37.6302736,127.0694304,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,노원구청,서울특별시 노원구 상계동 701-1,37.6541639,127.0566603,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,노원도봉지사,서울특별시 노원구 상계동 700,37.6539176,127.0556668,1,4,"SM3 Z.E,테슬라",,
서울특별시,노원프레미어스엠코,서울특별시 노원구 공릉동 670-20,37.6185315,127.0762191,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,동진신안 아파트,서울특별시 노원구 중계동 364,37.6497527,127.0784681,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,롯데우성 아파트,서울특별시 노원구 중계동 361-1,37.6468287,127.0728289,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,미주동방벽운 아파트,서울특별시 노원구 상계동 1265,37.6816043,127.0565915,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,북서울시립미술관,서울특별시 노원구 중계동 508,37.6401154,127.067112,4,0,"SM3 Z.E,테슬라",,
서울특별시,삼육대학교,서울특별시 노원구 공릉동 26-21,37.6429012,127.1060303,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,상계동아불암아파트,서울특별시 노원구 상계동 1285,37.6669564,127.0796885,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,상계주공15단지,서울특별시 노원구 상계동 652,37.6658306,127.055821,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,상계주공16단지아파트,서울특별시 노원구 상계동 624,37.6687829,127.0537253,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,인재개발원,서울특별시 노원구 노원길 130,37.654527,127.060551,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,인재개발원(공용),서울특별시 노원구 공릉동 170-2,37.633405,127.0848607,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,한국원자력의학원,서울특별시 노원구 공릉동 215-4,37.6283978,127.0822704,1,0,"SM3 Z.E,테슬라",,
서울특별시,대상타운현대아파트,서울특별시 도봉구 방학동 720-1,37.6650769,127.0481468,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,도깨비시장 공영주차장,서울특별시 도봉구 방학동 632-1,37.6646276,127.0338865,1,0,"SM3 Z.E,테슬라",,
서울특별시,도봉서원 아파트,서울특별시 도봉구 도봉동 641-1,37.6704139,127.0474557,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,동아청솔아파트,서울특별시 도봉구 창동 808,37.6572501,127.0483041,2,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,방학3동 주민센터,서울특별시 도봉구 방학동 498-16,37.6591034,127.0280601,1,0,"SM3 Z.E,테슬라",,
서울특별시,방학명품ESA2단지,서울특별시 도봉구 방학동 716-5,37.6664674,127.0456001,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서울북부지검,서울특별시 도봉구 도봉동 626-20,37.6764168,127.0462654,4,0,"SM3 Z.E,테슬라",,
서울특별시,창3동 주민센터,서울특별시 도봉구 창동 462-2,37.6380062,127.0428806,1,0,"SM3 Z.E,테슬라",,
서울특별시,한일병원,서울특별시 도봉구 쌍문동 388-1,37.6459157,127.0287308,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,동답 공영주차장,서울특별시 동대문구 답십리동 2-283,37.5693685,127.063534,1,0,"SM3 Z.E,테슬라",,
서울특별시,동일스위트리버,서울특별시 동대문구 휘경동 366,37.5874098,127.0686932,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,래미안엘파인 아파트,서울특별시 동대문구 답십리동 1000,37.5758796,127.0653027,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,배봉공영주차장,서울특별시 동대문구 휘경동 286-66,37.5869076,127.0620478,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,브라운스톤휘경,서울특별시 동대문구 휘경동 368,37.590199,127.0663516,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,장안힐스테이트 아파트,서울특별시 동대문구 장안동 329-2,37.5759642,127.0753503,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,장영당길 공영주차장,서울특별시 동대문구 답십리동 484-45,37.5687281,127.0530157,2,0,"SM3 Z.E,테슬라",,
서울특별시,힐스테이트청계,서울특별시 동대문구 답십리동 465-18,37.5704092,127.0484415,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
