시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종,x,y
서울특별시,공릉2단지라이프 아파트,서울특별시 노원구 공릉동 708,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,노원구청,서울특별시 노원구 상계동 701-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,노원도봉지사,서울특별시 노원구 상계동 700,1,4,"SM3 Z.E,테슬라",,
서울특별시,노원프레미어스엠코,서울특별시 노원구 공릉동 670-20,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,동진신안 아파트,서울특별시 노원구 중계동 364,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,롯데우성 아파트,서울특별시 노원구 중계동 361-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,미주동방벽운 아파트,서울특별시 노원구 상계동 1265,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,북서울시립미술관,서울특별시 노원구 중계동 508,4,0,"SM3 Z.E,테슬라",,
서울특별시,삼육대학교,서울특별시 노원구 공릉동 26-21,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,상계동아불암아파트,서울특별시 노원구 상계동 1285,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,상계주공15단지,서울특별시 노원구 상계동 652,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,상계주공16단지아파트,서울특별시 노원구 상계동 624,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,인재개발원,서울특별시 노원구 노원길 130,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,인재개발원(공용),서울특별시 노원구 공릉동 170-2,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,한국원자력의학원,서울특별시 노원구 공릉동 215-4,1,0,"SM3 Z.E,테슬라",,
서울특별시,대상타운현대아파트,서울특별시 도봉구 방학동 720-1,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,도깨비시장 공영주차장,서울특별시 도봉구 방학동 632-1,1,0,"SM3 Z.E,테슬라",,
서울특별시,도봉서원 아파트,서울특별시 도봉구 도봉동 641-1,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,동아청솔아파트,서울특별시 도봉구 창동 808,2,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,방학3동 주민센터,서울특별시 도봉구 방학동 498-16,1,0,"SM3 Z.E,테슬라",,
서울특별시,방학명품ESA2단지,서울특별시 도봉구 방학동 716-5,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서울북부지검,서울특별시 도봉구 도봉동 626-20,4,0,"SM3 Z.E,테슬라",,
서울특별시,창3동 주민센터,서울특별시 도봉구 창동 462-2,1,0,"SM3 Z.E,테슬라",,
서울특별시,한일병원,서울특별시 도봉구 쌍문동 388-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,동답 공영주차장,서울특별시 동대문구 답십리동 2-283,1,0,"SM3 Z.E,테슬라",,
서울특별시,동일스위트리버,서울특별시 동대문구 휘경동 366,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,래미안엘파인 아파트,서울특별시 동대문구 답십리동 1000,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,배봉공영주차장,서울특별시 동대문구 휘경동 286-66,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,브라운스톤휘경,서울특별시 동대문구 휘경동 368,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,장안힐스테이트 아파트,서울특별시 동대문구 장안동 329-2,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,장영당길 공영주차장,서울특별시 동대문구 답십리동 484-45,2,0,"SM3 Z.E,테슬라",,
서울특별시,힐스테이트청계,서울특별시 동대문구 답십리동 465-18,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,래미안상도3차아파트,서울특별시 동작구 대방동 상도로 53길 8,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,빙수골 장미주차장,서울특별시 동작구 상도동 301-132,1,0,"SM3 Z.E,테슬라",,
서울특별시,서울시여성가족재단,서울특별시 동작구 대방동 345-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,마포자이2차아파트,서울특별시 마포구 대흥동 804,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,마포중앙도서관,서울특별시 마포구 성산동 275-3,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,마포트라팰리스2차,서울특별시 마포구 아현동 738,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
